user_id,total_spend_virtual,total_no_purchases_virtual,first_gold_spend_date_virtual,last_gold_spend_date_virtual,number_of_purchase_days_virtual,preferred_product_virtual,average_spend_per_purchase_virtual
272243,147,3,2024-03-10,2024-03-28,3,Weapon,49.0
272244,49,1,2024-04-08,2024-04-08,1,Weapon,49.0
272245,78,3,2024-04-20,2024-04-24,3,Weapon,26.0
272246,96,5,2024-03-26,2024-03-29,3,Weapon,19.2
272247,75,5,2024-04-16,2024-05-01,5,Weapon,15.0
272249,29,2,2024-03-18,2024-03-29,2,Weapon,14.5
272253,50,2,2024-03-21,2024-03-23,2,Weapon,25.0
272254,74,3,2024-04-20,2024-04-22,3,Weapon,24.67
272256,56,3,2024-04-12,2024-04-15,3,Weapon,18.67
272259,5,1,2024-03-20,2024-03-20,1,Weapon,5.0
272260,24,2,2024-04-05,2024-04-07,2,Weapon,12.0
272262,27,2,2024-03-01,2024-03-05,2,Weapon,13.5
272264,77,3,2024-03-08,2024-03-13,3,Weapon,25.67
272265,70,2,2024-03-25,2024-03-26,2,Weapon,35.0
272267,72,5,2024-04-02,2024-04-15,5,Weapon,14.4
272269,60,2,2024-03-26,2024-03-28,2,Weapon,30.0
272270,4280,8,2024-04-15,2024-04-22,4,Weapon,535.0
272271,1769,6,2024-04-14,2024-04-19,4,Weapon,294.83
272275,99,1,2024-04-21,2024-04-21,1,Boost,99.0
272276,44,2,2024-03-12,2024-03-13,2,Weapon,22.0
272277,17,2,2024-03-12,2024-03-13,2,Weapon,8.5
272278,139,3,2024-03-01,2024-03-15,3,Weapon,46.33
272281,828,5,2024-03-16,2024-03-25,4,Weapon,165.6
272282,5,1,2024-03-03,2024-03-03,1,Weapon,5.0
272284,45,2,2024-04-14,2024-04-15,2,Weapon,22.5
272285,64,3,2024-03-24,2024-04-18,3,Weapon,21.33
272286,34,2,2024-04-20,2024-04-21,2,Weapon,17.0
272289,2,1,2024-04-23,2024-04-23,1,Boost,2.0
272290,25,1,2024-03-24,2024-03-24,1,Weapon,25.0
272291,62,3,2024-03-24,2024-03-27,3,Weapon,20.67
272292,3,1,2024-04-16,2024-04-16,1,Weapon,3.0
272293,10,1,2024-03-07,2024-03-07,1,Weapon,10.0
272295,145,3,2024-04-16,2024-04-18,3,Weapon,48.33
272296,15,1,2024-03-02,2024-03-02,1,Weapon,15.0
272297,2481,4,2024-03-15,2024-03-16,2,Weapon,620.25
272302,39,2,2024-04-03,2024-04-04,2,Weapon,19.5
272305,185,5,2024-04-16,2024-04-20,5,Weapon,37.0
272306,55,5,2024-04-05,2024-04-12,5,Weapon,11.0
272309,158,2,2024-03-30,2024-03-31,2,Boost,79.0
272310,46,2,2024-03-01,2024-03-04,2,Weapon,23.0
272312,15,1,2024-04-21,2024-04-21,1,Weapon,15.0
272313,75,3,2024-03-30,2024-04-01,3,Weapon,25.0
272314,417,6,2024-03-01,2024-04-30,6,Boost,69.5
272319,32,3,2024-03-02,2024-03-05,3,Weapon,10.67
272323,92,1,2024-03-23,2024-03-23,1,Boost,92.0
272324,93,3,2024-04-04,2024-04-06,3,Weapon,31.0
272326,90,3,2024-03-02,2024-03-06,3,Weapon,30.0
272327,145,3,2024-03-30,2024-04-03,3,Weapon,48.33
272328,43,3,2024-03-03,2024-03-10,3,Weapon,14.33
272329,7,2,2024-03-13,2024-03-14,2,Weapon,3.5
272331,20,2,2024-03-30,2024-04-04,2,Weapon,10.0
272333,3400,2,2024-04-09,2024-04-10,2,Boost,1700.0
272335,238,3,2024-03-10,2024-04-02,2,Boost,79.33
272337,20,2,2024-03-03,2024-03-09,2,Boost,10.0
272338,60,2,2024-04-07,2024-04-08,2,Weapon,30.0
272342,176,6,2024-04-16,2024-05-01,6,Weapon,29.33
272346,999,6,2024-03-02,2024-03-30,6,Boost,166.5
272347,181,4,2024-03-06,2024-04-25,4,Weapon,45.25
272349,29,2,2024-03-19,2024-03-20,2,Weapon,14.5
272352,171,7,2024-04-10,2024-04-20,5,Weapon,24.43
272357,34,1,2024-04-22,2024-04-22,1,Weapon,34.0
272360,55,4,2024-04-15,2024-04-23,4,Weapon,13.75
272364,10,1,2024-03-05,2024-03-05,1,Boost,10.0
272365,71,2,2024-03-16,2024-03-17,2,Weapon,35.5
272366,1,1,2024-04-05,2024-04-05,1,Weapon,1.0
272367,5,1,2024-04-04,2024-04-04,1,Weapon,5.0
272369,50,1,2024-03-12,2024-03-12,1,Weapon,50.0
272370,485,16,2024-03-04,2024-03-25,16,Weapon,30.31
272371,64,2,2024-04-09,2024-04-20,2,Boost,32.0
272372,102,2,2024-03-26,2024-03-27,2,Weapon,51.0
272373,45,2,2024-04-14,2024-04-15,2,Weapon,22.5
272374,15,1,2024-03-04,2024-03-04,1,Weapon,15.0
272375,95,3,2024-04-11,2024-04-20,3,Weapon,31.67
272377,40,5,2024-03-25,2024-04-22,5,Weapon,8.0
272379,138,3,2024-03-28,2024-04-02,3,Weapon,46.0
272380,1,1,2024-03-23,2024-03-23,1,Weapon,1.0
272382,415,5,2024-03-05,2024-04-23,5,Boost,83.0
272384,100,1,2024-04-05,2024-04-05,1,Weapon,100.0
272386,22,2,2024-03-27,2024-03-28,2,Weapon,11.0
272389,24,2,2024-04-15,2024-04-21,2,Weapon,12.0
272391,90,4,2024-04-13,2024-04-16,4,Weapon,22.5
272393,5,1,2024-03-15,2024-03-15,1,Weapon,5.0
272394,46,3,2024-03-29,2024-04-01,3,Weapon,15.33
272395,65,2,2024-04-04,2024-04-09,2,Weapon,32.5
272396,25,1,2024-04-16,2024-04-16,1,Weapon,25.0
272401,20,1,2024-03-14,2024-03-14,1,Weapon,20.0
272402,39,3,2024-04-13,2024-04-16,3,Weapon,13.0
272403,53,4,2024-04-09,2024-04-15,3,Weapon,13.25
272404,14,2,2024-03-03,2024-03-15,2,Weapon,7.0
272405,1068,4,2024-03-31,2024-04-13,2,Weapon,267.0
272407,93,5,2024-03-14,2024-03-19,5,Weapon,18.6
272409,30,1,2024-03-09,2024-03-09,1,Weapon,30.0
272410,149,2,2024-03-01,2024-03-19,2,Boost,74.5
272412,95,1,2024-03-29,2024-03-29,1,Weapon,95.0
272413,353,2,2024-03-14,2024-03-14,1,Gear,176.5
272415,51,1,2024-03-22,2024-03-22,1,Weapon,51.0
272416,275,9,2024-03-23,2024-04-02,8,Weapon,30.56
272419,126,4,2024-03-04,2024-03-17,4,Weapon,31.5
272420,59,2,2024-03-17,2024-03-18,2,Weapon,29.5
272422,32,3,2024-03-20,2024-03-25,3,Weapon,10.67
272423,103,6,2024-03-10,2024-04-09,6,Weapon,17.17
272424,57,4,2024-03-21,2024-03-28,4,Weapon,14.25
272425,27,6,2024-03-01,2024-03-27,6,Weapon,4.5
272428,51,1,2024-04-06,2024-04-06,1,Weapon,51.0
272429,110,3,2024-03-17,2024-03-23,3,Weapon,36.67
272430,112,5,2024-03-31,2024-04-06,5,Weapon,22.4
272431,15,1,2024-03-13,2024-03-13,1,Weapon,15.0
272433,32,1,2024-04-19,2024-04-19,1,Weapon,32.0
272434,84,2,2024-04-18,2024-04-19,2,Weapon,42.0
272435,155,6,2024-04-14,2024-04-21,6,Weapon,25.83
272438,81,3,2024-03-12,2024-03-17,2,Weapon,27.0
272439,7,1,2024-03-10,2024-03-10,1,Weapon,7.0
272440,44,4,2024-03-10,2024-03-19,4,Weapon,11.0
272441,88,4,2024-03-15,2024-03-27,4,Weapon,22.0
272442,113,3,2024-04-11,2024-04-28,3,Weapon,37.67
272444,160,5,2024-03-23,2024-04-03,5,Weapon,32.0
272445,149,6,2024-03-24,2024-04-09,5,Weapon,24.83
272447,61,3,2024-04-18,2024-04-23,3,Weapon,20.33
272448,555,4,2024-04-21,2024-04-27,4,Boost,138.75
272449,100,2,2024-03-11,2024-03-14,2,Weapon,50.0
272451,22,2,2024-04-01,2024-04-03,2,Weapon,11.0
272454,500,1,2024-03-07,2024-03-07,1,Weapon,500.0
272455,11,1,2024-03-25,2024-03-25,1,Weapon,11.0
272457,63,2,2024-04-01,2024-04-21,2,Weapon,31.5
272458,113,5,2024-03-14,2024-03-23,5,Weapon,22.6
272459,188,10,2024-03-07,2024-04-23,10,Weapon,18.8
272462,132,5,2024-03-05,2024-04-20,5,Weapon,26.4
272463,120,5,2024-03-03,2024-03-16,4,Weapon,24.0
272465,79,4,2024-03-04,2024-03-24,4,Weapon,19.75
272469,90,1,2024-03-25,2024-03-25,1,Weapon,90.0
272470,100,2,2024-03-16,2024-03-19,2,Weapon,50.0
272471,47,1,2024-03-12,2024-03-12,1,Weapon,47.0
272472,35,2,2024-03-09,2024-03-11,2,Weapon,17.5
272475,205,3,2024-04-14,2024-04-28,3,Boost,68.33
272477,500,4,2024-03-10,2024-04-27,4,Boost,125.0
272478,53,3,2024-04-21,2024-04-23,3,Weapon,17.67
272479,8,1,2024-03-19,2024-03-19,1,Weapon,8.0
272480,29,2,2024-04-17,2024-04-18,2,Weapon,14.5
272484,287,9,2024-03-01,2024-03-23,9,Weapon,31.89
272487,125,3,2024-04-19,2024-04-22,3,Weapon,41.67
272492,25,2,2024-03-25,2024-03-27,2,Weapon,12.5
272493,132,5,2024-03-26,2024-04-26,5,Weapon,26.4
272497,50,1,2024-04-23,2024-04-23,1,Weapon,50.0
272498,94,3,2024-03-13,2024-04-06,3,Weapon,31.33
272499,76,2,2024-04-18,2024-04-20,2,Weapon,38.0
272500,40,2,2024-03-19,2024-03-21,2,Weapon,20.0
272503,29,3,2024-03-26,2024-03-30,3,Weapon,9.67
272505,10065,4,2024-03-19,2024-04-23,4,Boost,2516.25
272506,13,1,2024-03-03,2024-03-03,1,Weapon,13.0
272507,20,1,2024-03-13,2024-03-13,1,Weapon,20.0
272509,313,9,2024-03-07,2024-04-29,9,Weapon,34.78
272510,151,4,2024-03-15,2024-04-07,4,Weapon,37.75
272514,3,1,2024-03-23,2024-03-23,1,Weapon,3.0
272515,45,2,2024-03-03,2024-03-04,2,Weapon,22.5
272520,12,1,2024-04-12,2024-04-12,1,Weapon,12.0
272523,1206,6,2024-03-29,2024-04-08,5,Weapon,201.0
272525,37,2,2024-03-27,2024-03-30,2,Weapon,18.5
272526,198,1,2024-03-10,2024-03-10,1,Boost,198.0
272527,9,1,2024-03-19,2024-03-19,1,Weapon,9.0
272531,102,2,2024-03-04,2024-03-07,2,Weapon,51.0
272538,169,6,2024-04-10,2024-05-01,6,Weapon,28.17
272540,44,2,2024-03-22,2024-03-23,2,Weapon,22.0
272541,82,4,2024-04-01,2024-04-04,4,Weapon,20.5
272542,69,3,2024-03-04,2024-03-29,3,Weapon,23.0
272545,152,6,2024-04-15,2024-04-27,6,Weapon,25.33
272547,1267,15,2024-03-10,2024-04-27,12,Boost,84.47
272548,116,5,2024-03-29,2024-04-12,5,Weapon,23.2
272549,99,3,2024-03-01,2024-03-05,3,Weapon,33.0
272551,135,4,2024-03-25,2024-04-08,4,Weapon,33.75
272553,14,2,2024-04-03,2024-04-04,2,Weapon,7.0
272556,45,2,2024-03-15,2024-03-16,2,Weapon,22.5
272557,144,4,2024-03-03,2024-03-08,4,Weapon,36.0
272558,39,3,2024-03-12,2024-03-14,3,Weapon,13.0
272559,27,1,2024-03-09,2024-03-09,1,Weapon,27.0
272560,28,1,2024-03-01,2024-03-01,1,Weapon,28.0
272561,15,1,2024-03-04,2024-03-04,1,Weapon,15.0
272562,77,4,2024-04-07,2024-04-16,4,Weapon,19.25
272563,247,9,2024-03-20,2024-04-05,9,Weapon,27.44
272564,7,2,2024-03-26,2024-03-27,2,Weapon,3.5
272565,120,4,2024-03-25,2024-03-28,4,Weapon,30.0
272567,106,3,2024-03-15,2024-03-19,3,Weapon,35.33
272568,109,4,2024-03-23,2024-04-06,4,Weapon,27.25
272569,200,2,2024-03-11,2024-04-05,2,Boost,100.0
272571,141,6,2024-03-07,2024-04-17,6,Weapon,23.5
272573,368,9,2024-03-02,2024-04-24,9,Weapon,40.89
272574,20,1,2024-03-24,2024-03-24,1,Weapon,20.0
272575,39,2,2024-04-06,2024-04-08,2,Weapon,19.5
272576,60,4,2024-03-07,2024-03-12,4,Weapon,15.0
272577,253,4,2024-04-18,2024-04-26,4,Boost,63.25
272578,68,2,2024-04-09,2024-04-10,2,Weapon,34.0
272579,99,1,2024-03-08,2024-03-08,1,Boost,99.0
272580,25,1,2024-03-09,2024-03-09,1,Weapon,25.0
272583,66,2,2024-04-11,2024-04-12,2,Weapon,33.0
272584,14,1,2024-03-07,2024-03-07,1,Weapon,14.0
272588,51,3,2024-03-14,2024-03-16,3,Weapon,17.0
272589,70,2,2024-03-25,2024-03-29,2,Weapon,35.0
272590,241,8,2024-03-27,2024-04-13,8,Weapon,30.12
272593,8,1,2024-03-02,2024-03-02,1,Weapon,8.0
272594,61,3,2024-03-02,2024-03-07,3,Weapon,20.33
272595,120,3,2024-03-07,2024-04-21,3,Weapon,40.0
272597,72,2,2024-03-10,2024-03-21,2,Weapon,36.0
272598,36,2,2024-04-09,2024-04-10,2,Weapon,18.0
272599,15,1,2024-04-09,2024-04-09,1,Weapon,15.0
272600,1575,1,2024-03-27,2024-03-27,1,Gear,1575.0
272604,58,1,2024-03-19,2024-03-19,1,Weapon,58.0
272605,29,2,2024-04-11,2024-04-16,2,Weapon,14.5
272609,572,5,2024-04-22,2024-05-01,3,Weapon,114.4
272611,51,3,2024-03-02,2024-03-21,3,Weapon,17.0
272612,43,2,2024-03-28,2024-03-29,2,Weapon,21.5
272614,51,2,2024-04-20,2024-04-21,2,Weapon,25.5
272616,47,3,2024-03-12,2024-03-15,3,Weapon,15.67
272617,92,3,2024-04-16,2024-04-20,3,Weapon,30.67
272618,106,5,2024-03-06,2024-03-16,5,Weapon,21.2
272621,61,3,2024-03-05,2024-03-10,3,Weapon,20.33
272625,36,2,2024-04-11,2024-04-12,2,Weapon,18.0
272627,57,3,2024-03-30,2024-04-10,3,Weapon,19.0
272628,553,2,2024-03-10,2024-03-10,1,Boost,276.5
272631,65,6,2024-03-24,2024-04-09,6,Weapon,10.83
272632,101,4,2024-03-01,2024-04-05,4,Weapon,25.25
272638,100,1,2024-03-30,2024-03-30,1,Boost,100.0
272640,5,1,2024-04-16,2024-04-16,1,Weapon,5.0
272641,177,5,2024-03-03,2024-03-08,5,Weapon,35.4
272642,55,3,2024-03-21,2024-03-30,3,Weapon,18.33
272645,100,2,2024-03-17,2024-03-21,2,Weapon,50.0
272646,92,3,2024-04-18,2024-04-20,2,Weapon,30.67
272649,147,5,2024-04-01,2024-04-07,4,Weapon,29.4
272650,29,2,2024-04-18,2024-04-19,2,Weapon,14.5
272651,5,1,2024-03-29,2024-03-29,1,Weapon,5.0
272652,145,4,2024-04-03,2024-04-08,4,Weapon,36.25
272653,10,1,2024-04-09,2024-04-09,1,Weapon,10.0
272654,80,5,2024-03-25,2024-03-31,5,Weapon,16.0
272656,10,2,2024-03-11,2024-03-13,2,Weapon,5.0
272657,40,1,2024-04-08,2024-04-08,1,Weapon,40.0
272659,175,6,2024-03-15,2024-03-23,6,Weapon,29.17
272660,15,1,2024-03-22,2024-03-22,1,Weapon,15.0
272661,36,1,2024-04-20,2024-04-20,1,Weapon,36.0
272663,44,4,2024-04-07,2024-04-11,4,Weapon,11.0
272665,52,2,2024-03-05,2024-03-09,2,Weapon,26.0
272667,156,4,2024-04-16,2024-04-23,3,Weapon,39.0
272669,48,3,2024-03-14,2024-03-17,3,Weapon,16.0
272674,767,4,2024-03-06,2024-04-06,3,Boost,191.75
272675,13,1,2024-03-15,2024-03-15,1,Weapon,13.0
272676,47,3,2024-03-27,2024-03-30,3,Weapon,15.67
272677,30,1,2024-03-28,2024-03-28,1,Weapon,30.0
272679,78,1,2024-04-20,2024-04-20,1,Boost,78.0
272680,180,4,2024-04-21,2024-04-30,4,Weapon,45.0
272682,5,1,2024-03-08,2024-03-08,1,Weapon,5.0
272683,5,1,2024-03-08,2024-03-08,1,Weapon,5.0
272686,57,2,2024-03-18,2024-03-22,2,Weapon,28.5
272687,25,1,2024-03-22,2024-03-22,1,Weapon,25.0
272688,194,7,2024-03-30,2024-04-26,6,Weapon,27.71
272689,14,1,2024-04-13,2024-04-13,1,Weapon,14.0
272690,20,2,2024-03-01,2024-03-05,2,Weapon,10.0
272691,20,2,2024-03-23,2024-03-24,2,Weapon,10.0
272693,88,4,2024-04-19,2024-04-28,4,Weapon,22.0
272694,300,1,2024-03-25,2024-03-25,1,Weapon,300.0
272695,49,2,2024-03-06,2024-03-18,2,Boost,24.5
272696,259,9,2024-03-09,2024-04-07,9,Weapon,28.78
272702,49,3,2024-04-10,2024-04-17,3,Boost,16.33
272703,25,1,2024-03-28,2024-03-28,1,Weapon,25.0
272704,40,3,2024-03-18,2024-03-24,3,Weapon,13.33
272705,3,1,2024-03-07,2024-03-07,1,Weapon,3.0
272706,30,1,2024-04-09,2024-04-09,1,Weapon,30.0
272707,139,4,2024-04-07,2024-05-01,4,Weapon,34.75
272708,17,1,2024-03-29,2024-03-29,1,Weapon,17.0
272711,81,4,2024-03-13,2024-03-23,4,Weapon,20.25
272713,92,2,2024-04-01,2024-04-02,2,Weapon,46.0
272714,184,5,2024-03-20,2024-04-25,5,Weapon,36.8
272718,106,6,2024-03-09,2024-03-30,6,Weapon,17.67
272720,4,1,2024-03-12,2024-03-12,1,Weapon,4.0
272721,35,2,2024-03-04,2024-03-08,2,Weapon,17.5
272723,51,3,2024-03-29,2024-04-02,3,Weapon,17.0
272724,26,2,2024-04-09,2024-04-10,2,Weapon,13.0
272725,44,3,2024-03-24,2024-03-26,3,Weapon,14.67
272728,36,2,2024-03-18,2024-03-21,2,Weapon,18.0
272732,35,2,2024-03-24,2024-03-29,2,Weapon,17.5
272733,40,2,2024-03-20,2024-04-01,2,Weapon,20.0
272734,118,5,2024-04-18,2024-04-24,4,Weapon,23.6
272735,73,3,2024-03-07,2024-03-14,3,Weapon,24.33
272736,105,6,2024-03-15,2024-03-29,6,Weapon,17.5
272738,116,5,2024-03-16,2024-03-20,5,Weapon,23.2
272739,5,2,2024-03-21,2024-04-10,2,Boost,2.5
272740,48,2,2024-03-28,2024-03-30,2,Weapon,24.0
272741,110,7,2024-03-03,2024-04-09,6,Boost,15.71
272743,46,2,2024-03-30,2024-04-14,2,Boost,23.0
272746,4994,9,2024-03-29,2024-04-04,4,Weapon,554.89
272749,83,5,2024-03-27,2024-04-24,5,Weapon,16.6
272753,5,1,2024-03-09,2024-03-09,1,Weapon,5.0
272755,125,4,2024-04-04,2024-04-17,4,Weapon,31.25
272756,45,2,2024-03-21,2024-03-23,2,Weapon,22.5
272757,156,3,2024-03-18,2024-04-04,3,Weapon,52.0
272759,107,5,2024-04-06,2024-04-19,5,Weapon,21.4
272762,35,3,2024-03-24,2024-03-26,3,Weapon,11.67
272764,56,1,2024-03-06,2024-03-06,1,Weapon,56.0
272765,30,1,2024-03-28,2024-03-28,1,Weapon,30.0
272766,5,1,2024-04-06,2024-04-06,1,Weapon,5.0
272768,15,1,2024-04-19,2024-04-19,1,Weapon,15.0
272771,38,2,2024-03-01,2024-03-04,2,Weapon,19.0
272772,28,3,2024-04-19,2024-04-21,3,Weapon,9.33
272773,69,1,2024-03-26,2024-03-26,1,Weapon,69.0
272776,9530,7,2024-04-07,2024-04-22,3,Weapon,1361.43
272777,91,2,2024-03-10,2024-03-12,2,Weapon,45.5
272780,298,2,2024-04-04,2024-04-12,2,Boost,149.0
272781,68,5,2024-04-09,2024-04-19,5,Weapon,13.6
272782,60,3,2024-03-17,2024-03-23,3,Weapon,20.0
272783,58,2,2024-03-21,2024-03-22,2,Weapon,29.0
272784,5,1,2024-03-15,2024-03-15,1,Weapon,5.0
272788,12,1,2024-03-25,2024-03-25,1,Weapon,12.0
272789,104,4,2024-04-01,2024-04-19,4,Weapon,26.0
272790,53,3,2024-04-02,2024-04-08,3,Weapon,17.67
272792,48,2,2024-03-22,2024-03-23,2,Weapon,24.0
272793,63,3,2024-03-16,2024-03-25,3,Weapon,21.0
272794,249,1,2024-03-28,2024-03-28,1,Weapon,249.0
272795,78,4,2024-03-21,2024-03-26,4,Weapon,19.5
272796,87,4,2024-03-02,2024-03-05,4,Weapon,21.75
272797,31,2,2024-03-24,2024-03-28,2,Weapon,15.5
272798,101,4,2024-04-05,2024-04-08,4,Weapon,25.25
272800,552,4,2024-03-04,2024-03-15,3,Boost,138.0
272801,32,3,2024-03-04,2024-03-10,3,Weapon,10.67
272802,74,3,2024-03-18,2024-03-20,3,Weapon,24.67
272803,102,2,2024-04-20,2024-04-20,1,Boost,51.0
272805,500,5,2024-03-18,2024-04-12,5,Boost,100.0
272812,25,1,2024-03-01,2024-03-01,1,Weapon,25.0
272814,20,2,2024-03-20,2024-03-22,2,Weapon,10.0
272815,20,2,2024-03-02,2024-03-04,2,Weapon,10.0
272816,231,6,2024-03-09,2024-04-06,6,Weapon,38.5
272817,100,1,2024-04-03,2024-04-03,1,Boost,100.0
272818,51,3,2024-03-17,2024-03-29,3,Weapon,17.0
272823,94,4,2024-04-18,2024-04-27,4,Weapon,23.5
272825,45,1,2024-04-11,2024-04-11,1,Weapon,45.0
272826,65,4,2024-04-04,2024-04-10,4,Weapon,16.25
272827,169,5,2024-03-01,2024-04-22,5,Weapon,33.8
272830,41,4,2024-03-03,2024-03-09,4,Weapon,10.25
272831,63,4,2024-03-13,2024-03-18,3,Boost,15.75
272838,99,1,2024-03-16,2024-03-16,1,Boost,99.0
272839,96,2,2024-04-16,2024-04-17,2,Weapon,48.0
272840,109,3,2024-04-20,2024-04-25,3,Weapon,36.33
272841,168,6,2024-04-13,2024-04-25,6,Weapon,28.0
272843,109,3,2024-03-16,2024-03-18,3,Weapon,36.33
272845,14,2,2024-03-08,2024-04-20,2,Weapon,7.0
272846,84,2,2024-04-14,2024-04-15,2,Weapon,42.0
272847,108,3,2024-03-18,2024-03-24,3,Weapon,36.0
272848,168,2,2024-04-19,2024-04-26,2,Weapon,84.0
